timestamp;serial;grid_purchase;grid_feedin;direct_consumption;date
2023-05-22T22:24:00.000Z;1771861586;0;0;null;2023-05-22
2023-05-22T22:09:00.000Z;1559834999;135;0;null;2023-05-22
2023-05-22T19:08:00.000Z;2105167400;n/a;0;null;2023-05-22
2023-05-22T19:13:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T23:43:00.000Z;1057045008;29;0;null;2023-05-22
2023-05-22T19:28:00.000Z;1711356005;141;0;null;2023-05-22
2023-05-22T21:30:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T22:14:00.000Z;1771861586;0;0;null;2023-05-22
2023-05-22T23:07:00.000Z;1057045008;24;0;null;2023-05-22
2023-05-22T20:50:00.000Z;1135739597;6579;0;null;2023-05-22
2023-05-22T03:42:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T23:04:00.000Z;970568993;23;0;null;2023-05-22
2023-05-22T00:06:00.000Z;1559834999;2031;0;null;2023-05-22
2023-05-22T00:40:00.000Z;1057045008;21;0;null;2023-05-22
2023-05-22T22:09:00.000Z;1771861586;0;0;null;2023-05-22
2023-05-22T23:13:00.000Z;1057045008;15;0;null;2023-05-22
2023-05-22T19:51:00.000Z;1057045008;26;0;null;2023-05-22
2023-05-22T22:40:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T23:05:00.000Z;1654624404;62;0;null;2023-05-22
2023-05-22T22:49:00.000Z;517262015;41;0;null;2023-05-22
2023-05-22T21:20:00.000Z;1654624404;64;0;null;2023-05-22
2023-05-22T20:10:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T00:38:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T23:57:00.000Z;517262015;17;0;null;2023-05-22
2023-05-22T21:33:00.000Z;1711356005;394;0;null;2023-05-22
2023-05-22T23:23:00.000Z;1083091999;3439;0;null;2023-05-22
2023-05-22T03:19:00.000Z;1654624404;0;1153;null;2023-05-22
2023-05-22T19:56:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T23:29:00.000Z;1083091999;3344;0;null;2023-05-22
2023-05-22T03:13:00.000Z;2105167400;n/a;0;null;2023-05-22
2023-05-22T03:16:00.000Z;1711356005;0;39;null;2023-05-22
2023-05-22T20:22:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T21:32:00.000Z;1654624404;125;0;null;2023-05-22
