timestamp,serial,grid_purchase,grid_feedin,direct_consumption,date,hour,is_highest_grid_feed
2023-05-22 00:38:00+00:00,1057045008,25.0,0.0,0,2023-05-22,0,False
2023-05-22 03:05:00+00:00,1654624404,0.0,719.0,0,2023-05-22,3,False
2023-05-22 21:56:00+00:00,1028817402,0.0,0.0,0,2023-05-22,21,False
2023-05-22 21:43:00+00:00,1057045008,22.0,0.0,0,2023-05-22,21,False
2023-05-22 20:45:00+00:00,517262015,2630.0,0.0,0,2023-05-22,20,False
2023-05-22 21:26:00+00:00,1559834999,129.0,0.0,0,2023-05-22,21,False
2023-05-22 20:46:00+00:00,1559834999,195.0,0.0,0,2023-05-22,20,False
2023-05-22 20:42:00+00:00,517262015,3220.0,0.0,0,2023-05-22,20,False
2023-05-22 03:04:00+00:00,1771861586,0.0,0.0,0,2023-05-22,3,False
2023-05-22 21:47:00+00:00,517262015,773.0,0.0,0,2023-05-22,21,False
2023-05-22 20:20:00+00:00,1028817402,0.0,0.0,0,2023-05-22,20,False
2023-05-22 19:35:00+00:00,1654624404,133.0,0.0,0,2023-05-22,19,False
2023-05-22 22:10:00+00:00,1083091999,4482.0,0.0,0,2023-05-22,22,False
2023-05-22 00:05:00+00:00,1083091999,4640.0,0.0,0,2023-05-22,0,False
2023-05-22 21:59:00+00:00,970568993,329.0,0.0,0,2023-05-22,21,False
2023-05-22 22:50:00+00:00,517262015,40.0,0.0,0,2023-05-22,22,False
2023-05-22 00:16:00+00:00,1654624404,0.0,671.0,0,2023-05-22,0,False
2023-05-22 20:38:00+00:00,970568993,452.0,0.0,0,2023-05-22,20,False
2023-05-22 00:19:00+00:00,1559834999,1647.0,0.0,0,2023-05-22,0,False
2023-05-22 23:27:00+00:00,1083091999,3563.0,0.0,0,2023-05-22,23,False
2023-05-22 23:56:00+00:00,970568993,30.0,0.0,0,2023-05-22,23,False
2023-05-22 22:04:00+00:00,970568993,331.0,0.0,0,2023-05-22,22,False
2023-05-22 19:29:00+00:00,1559834999,28.0,0.0,0,2023-05-22,19,False
2023-05-22 19:21:00+00:00,1083091999,7457.0,0.0,0,2023-05-22,19,False
2023-05-22 21:41:00+00:00,517262015,881.0,0.0,0,2023-05-22,21,False
2023-05-22 21:00:00+00:00,1711356005,162.0,0.0,0,2023-05-22,21,False
2023-05-22 22:49:00+00:00,1711356005,19.0,0.0,0,2023-05-22,22,False
